FASTQ_file_base_name,short_name,mod_concentration
220822_IVT_AANCR_RNA_nobiotinC,biotin-C,none
220823_IVT_AANCR_RNA_1bioto100nonbioC,biotin-C,1:100
220825_IVT_AANCR_RNA_1bioto10nonbioC,biotin-C,1:10
220831_IVT_AANCR_RNA_1bioto5nonbioC,biotin-C,1:5
220830_IVT_AANCR_RNA_1bioto2nonbioC,biotin-C,1:2
221008_IVT_AANCR_RNA_no5hmeCTP,hm5C,none
221008_IVT_AANCR_RNA_one5hmeCTPto100CTP,hm5C,1:100
221007_IVT_AANCR_RNA_one5hmeCTPtotenCTP,hm5C,1:10
221006_IVT_AANCR_RNA_one5hmeCTPtofiveCTP,hm5C,1:5
221005_IVT_AANCR_RNA_one5hmeCTPtotwoCTP,hm5C,1:2
221011_IVT_AANCR_RNA_no2OmeCTP,Cm,none
221012_IVT_AANCR_RNA_one2OmeCTPto100CTP,Cm,1:100
221012_IVT_AANCR_RNA_one2OmeCTPtotenCTP,Cm,1:10
221012_IVT_AANCR_RNA_one2OmeCTPtofiveCTP,Cm,1:5
221012_IVT_AANCR_RNA_one2OmeCTPtotwoCTP,Cm,1:2
221013_IVT_AANCR_RNA_no5meCTP,m5C,none
221221_IVT_AANCR_RNA_one5meCTPto100CTP,m5C,1:100
221013_IVT_AANCR_RNA_one5meCTPtotenCTP,m5C,1:10
221013_IVT_AANCR_RNA_one5meCTPtofiveCTP,m5C,1:5
221013_IVT_AANCR_RNA_one5meCTPtotwoCTP,m5C,1:2
221019_IVT_AANCR_RNA_noN6meATP,m6A,none
221021_IVT_AANCR_RNA_oneN6meATPto100ATP,m6A,1:100
221021_IVT_AANCR_RNA_oneN6meATPtotenATP,m6A,1:10
221020_IVT_AANCR_RNA_oneN6meATPtofiveATP,m6A,1:5
221020_IVT_AANCR_RNA_oneN6meATPtotwoATP,m6A,1:2
221024_IVT_AANCR_RNA_noN1meATP,m1A,none
221027_IVT_AANCR_RNA_oneN1meATPto100ATP,m1A,1:100
221026_IVT_AANCR_RNA_oneN1meATPtotenATP,m1A,1:10
221025_IVT_AANCR_RNA_oneN1meATPtofiveATP,m1A,1:5
221025_IVT_AANCR_RNA_oneN1meATPtotwoATP,m1A,1:2
221028_IVT_AANCR_RNA_no2OmeATP,Am,none
221029_IVT_AANCR_RNA_one2OmeATPto100ATP,Am,1:100
221029_IVT_AANCR_RNA_one2OmeATPtotenATP,Am,1:10
221028_IVT_AANCR_RNA_one2OmeATPtofiveATP,Am,1:5
221028_IVT_AANCR_RNA_one2OmeATPtotwoATP,Am,1:2
221101_IVT_AANCR_RNA_nopseudUTP,Y,none
221102_IVT_AANCR_RNA_onepseudUTPto100UTP,Y,1:100
221102_IVT_AANCR_RNA_onepseudUTPtotenUTP,Y,1:10
221101_IVT_AANCR_RNA_onepseudUTPto5UTP,Y,1:5
221101_IVT_AANCR_RNA_onepseudUTPtotwoUTP,Y,1:2
221105_IVT_AANCR_RNA_no2OmeUTP,Um,none
221108_IVT_AANCR_RNA_one2OmeUTPto100UTP,Um,1:100
221108_IVT_AANCR_RNA_one2OmeUTPtotenUTP,Um,1:10
221107_IVT_AANCR_RNA_one2OmeUTPtofiveUTP,Um,1:5
221107_IVT_AANCR_RNA_one2OmeUTPtotwoUTP,Um,1:2
221110_IVT_AANCR_RNA_no2OmeGTP,Gm,none
221110_IVT_AANCR_RNA_one2OmeGTPto100GTP,Gm,1:100
221109_IVT_AANCR_RNA_one2OmeGTPtotenGTP,Gm,1:10
221109_IVT_AANCR_RNA_one2OmeGTPtofiveGTP,Gm,1:5
221109_IVT_AANCR_RNA_one2OmeGTPtotwoGTP,Gm,1:2
230215_IVT_AANCR_RNA_100pct2OmeATP,Am,100%
230216_IVT_AANCR_RNA_100pct2OmeCTP,Cm,100%
230216_IVT_AANCR_RNA_100pct2OmeGTP,Gm,100%
230217_IVT_AANCR_RNA_100pct2OmeUTP,Um,100%
